"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"440","Pierre-Luc Dubois","WSH","L","82","1147","13","33","21","12","46","63.01","102","12.75","14.51","217","168","147","73","8","16","66","28","27","0","1","26","55","13","57","92","57","509","515","49.71"
"584","Kirill Marchenko","CBJ","R","79","1180.7166666667","24","22","15","7","46","61.33","153","15.69","13.47","315","217","142","48","12","32","14","7","7","0","0","16","70","34","47","79","36","13","25","34.21"
"158","Rickard Rakell","PIT","R","81","1256.1333333333","23","22","12","10","45","68.18","150","15.33","17.96","289","235","158","83","11","33","14","7","7","0","0","10","66","19","112","114","72","15","23","39.47"
"417","Clayton Keller","UTA","R","81","1166.9166666667","14","31","14","17","45","83.33","153","9.15","16.84","309","229","150","77","8","31","24","11","11","0","0","22","60","23","11","64","27","8","10","44.44"
"303","Brayden Point","T.B","C","77","1148.75","21","23","13","10","44","61.11","121","17.36","14.06","233","175","164","74","3","12","7","2","1","1","0","12","31","15","20","51","40","340","375","47.55"
"483","Morgan Geekie","BOS","C","77","1116.8833333333","26","18","10","8","44","67.69","128","20.31","15.89","247","191","154","70","9","17","18","9","9","0","0","10","47","29","108","98","25","159","189","45.69"
"652","Connor McMichael","WSH","C","82","1112.3166666667","22","22","8","14","44","66.67","142","15.49","18.82","259","207","170","89","8","39","28","14","14","0","0","8","58","17","36","58","34","25","34","42.37"
"887","Adam Fantilli","CBJ","C","82","1201.4","25","19","12","7","44","72.13","140","17.86","11.64","300","211","131","49","14","24","16","8","8","0","0","20","77","20","113","90","52","372","529","41.29"
"294","Ivan Barbashev","VGK","C","70","1069.9","18","25","18","7","43","69.35","100","18.00","14.25","206","161","149","83","5","20","8","4","4","0","0","12","73","18","102","64","30","11","17","39.29"
"279","William Nylander","TOR","R","82","1225.9833333333","24","18","13","5","42","68.85","178","13.48","17.1","316","238","162","75","7","28","22","10","10","0","0","14","62","21","14","49","25","57","61","48.31"
"293","Adrian Kempe","L.A","R","81","1119.5333333333","21","21","15","6","42","68.85","162","12.96","15.79","344","251","164","69","9","32","28","14","14","0","0","15","62","10","90","50","26","7","8","46.67"
"511","Cale Makar","COL","D","80","1455.6833333333","13","29","19","10","42","57.53","150","8.67","10.21","411","243","176","33","6","39","10","5","5","0","0","20","99","42","42","41","88","0","0","-"
"697","Dylan Holloway","STL","L","77","1088.4","16","26","17","9","42","72.41","137","11.68","11.95","258","179","131","57","9","23","10","5","5","0","0","13","62","31","157","89","49","52","71","42.28"
"740","JJ Peterka","BUF","R","77","1075.8833333333","18","24","13","11","42","59.15","120","15.00","12.09","261","194","122","41","14","14","22","11","11","0","0","15","73","18","27","61","14","1","6","14.29"
"55","John Tavares","TOR","C","75","1063.9166666667","20","21","15","6","41","74.55","121","16.53","15.93","210","168","142","79","6","20","42","21","21","0","0","14","54","23","87","66","40","563","405","58.16"
"181","Filip Forsberg","NSH","L","82","1153.9833333333","17","24","13","11","41","80.39","185","9.19","17.74","400","299","173","71","14","26","28","14","14","0","0","25","91","33","139","55","46","4","12","25.00"
"225","Jake Guentzel","T.B","C","80","1210.8666666667","19","22","11","11","41","56.94","141","13.48","17.01","238","199","157","85","5","24","20","10","10","0","0","17","69","23","27","89","45","117","136","46.25"
"299","Ryan Donato","CHI","C","80","1093.5","23","18","15","3","41","85.42","144","15.97","13.99","271","210","138","63","10","16","37","13","11","1","1","14","45","19","102","90","17","170","222","43.37"
"350","Travis Konecny","PHI","R","82","1237.9","8","33","20","13","41","89.13","118","6.78","10.62","255","185","121","36","10","17","47","22","21","1","0","20","78","17","74","68","27","28","42","40.00"
"442","Jesper Bratt","N.J","L","81","1079.15","12","29","19","10","41","75.93","119","10.08","13.11","275","196","152","58","7","30","14","6","6","0","0","12","52","6","84","61","35","0","3","0.00"
"79","Anders Lee","NYI","L","82","1125.7333333333","21","19","11","8","40","66.67","163","12.88","20.86","291","245","197","109","8","33","29","13","12","1","0","11","60","11","110","80","34","8","13","38.10"
